county,year,death_cancellations,pop,deaths
Taliaferro,2014,21,1694,23
Taliaferro,2015,37,1643,30
Taliaferro,2016,16,1613,19
Taliaferro,2017,28,1622,16
Taliaferro,2018,36,1608,30
Tattnall,2012,135,25469,205
Tattnall,2013,180,25648,227
Tattnall,2014,166,25337,215
Tattnall,2015,191,25390,254
Tattnall,2016,177,25295,239
Tattnall,2017,200,25353,260
Tattnall,2018,175,25391,228
Taylor,2012,69,8362,79
Taylor,2013,58,8381,98
Taylor,2014,95,8379,107
Taylor,2015,84,8245,90
Taylor,2016,77,8188,99
Taylor,2017,94,8114,107
Taylor,2018,92,8039,105
Telfair,2012,153,16365,169
Telfair,2013,84,16633,143
Telfair,2014,143,16459,138
Telfair,2015,138,16439,146
Telfair,2016,127,15913,156
Telfair,2017,135,15890,151
Telfair,2018,120,15876,141
Terrell,2012,115,9226,117
Terrell,2013,105,9168,104
Terrell,2014,77,9083,106
Terrell,2015,105,9017,108
Terrell,2016,98,8865,102
Terrell,2017,106,8717,115
Terrell,2018,118,8611,136
Thomas,2012,306,44535,513
Thomas,2013,134,44772,448
Thomas,2014,340,44759,485
Thomas,2015,491,44812,482
Thomas,2016,339,44968,494
Thomas,2017,380,44662,515
Thomas,2018,404,44448,524
Tift,2012,245,40943,351
Tift,2013,199,40175,390
Tift,2014,297,40454,400
Tift,2015,273,40536,381
Tift,2016,272,40552,408
Tift,2017,311,40438,415
Tift,2018,331,40571,450
Toombs,2012,208,27179,290
Toombs,2013,125,27197,282
Toombs,2014,243,27146,316
Toombs,2015,237,27169,327
Toombs,2016,240,27144,313
Toombs,2017,224,26896,315
Toombs,2018,219,26887,292
Towns,2012,131,10561,157
Towns,2013,102,10788,158
Towns,2014,120,11082,146
Towns,2015,144,11207,163
Towns,2016,162,11407,194
Towns,2017,158,11539,196
Towns,2018,162,11852,191
Treutlen,2012,94,6788,65
Treutlen,2013,31,6686,58
Treutlen,2014,72,6811,68
Treutlen,2015,82,6801,65
Treutlen,2016,79,6704,71
Treutlen,2017,94,6760,94
Treutlen,2018,67,6809,80
Troup,2012,481,68278,608
Troup,2013,220,68803,672
Troup,2014,448,69282,613
Troup,2015,640,69593,684
Troup,2016,509,69924,716
Troup,2017,511,70038,696
Troup,2018,551,70034,725
Turner,2012,61,8441,86
Turner,2013,111,8203,108
Turner,2014,93,8063,128
Turner,2015,86,7979,122
Turner,2016,80,7941,112
Turner,2017,100,7915,120
Turner,2018,86,7912,115
Twiggs,2012,76,8547,87
Twiggs,2013,89,8512,147
Twiggs,2014,104,8387,103
Twiggs,2015,117,8342,131
Twiggs,2016,85,8245,100
Twiggs,2017,93,8260,99
Twiggs,2018,116,8188,141
Union,2012,216,21324,292
Union,2013,217,21418,306
Union,2014,252,21758,292
Union,2015,255,22017,319
Union,2016,226,22671,291
Union,2017,277,23427,349
Union,2018,283,24001,337
Upson,2012,218,26566,347
Upson,2013,214,26432,382
Upson,2014,247,26173,366
Upson,2015,266,26241,370
Upson,2016,250,26255,355
Upson,2017,283,26197,354
Upson,2018,302,26215,421
Walker,2012,388,68466,686
Walker,2013,182,68611,775
Walker,2014,402,68678,736
Walker,2015,465,68552,823
Walker,2016,441,68452,866
Walker,2017,536,69027,814
Walker,2018,468,69410,846
Walton,2012,454,84969,746
Walton,2013,415,86038,721
Walton,2014,467,87521,734
Walton,2015,595,88358,832
Walton,2016,553,89873,829
Walton,2017,586,91406,789
Walton,2018,689,93503,936
Ware,2012,318,35900,439
Ware,2013,279,35751,417
Ware,2014,337,35525,433
Ware,2015,350,35359,452
Ware,2016,328,35704,440
Ware,2017,344,35728,459
Ware,2018,381,35680,483
Warren,2012,74,5546,78
Warren,2013,40,5522,76
Warren,2014,63,5462,78
Warren,2015,70,5377,91
Warren,2016,68,5349,83
Warren,2017,77,5292,76
Warren,2018,65,5251,77
Washington,2012,140,20793,186
Washington,2013,136,20574,190
Washington,2014,192,20550,227
Washington,2015,197,20736,230
Washington,2016,203,20341,253
Washington,2017,201,20294,222
Washington,2018,185,20386,225
Wayne,2012,219,30323,315
Wayne,2013,189,29993,308
Wayne,2014,228,29893,331
Wayne,2015,261,29422,328
Wayne,2016,259,29953,353
Wayne,2017,265,29760,364
Wayne,2018,290,29808,373
Webster,2012,22,2766,12
Webster,2013,9,2670,13
Webster,2014,25,2612,25
Webster,2015,22,2631,21
Webster,2016,24,2615,30
Webster,2017,23,2596,24
Webster,2018,34,2611,35
Wheeler,2012,77,7920,49
Wheeler,2013,49,7922,63
Wheeler,2014,65,7970,68
Wheeler,2015,88,7897,71
Wheeler,2016,60,7999,59
Wheeler,2017,50,7952,62
Wheeler,2018,67,7879,66
White,2012,183,27623,245
White,2013,103,27828,247
White,2014,197,28019,277
White,2015,238,28374,299
White,2016,190,28824,267
White,2017,219,29455,275
White,2018,220,29970,299
Whitfield,2012,456,102963,825
Whitfield,2013,385,102757,775
Whitfield,2014,530,103137,778
Whitfield,2015,488,103677,828
Whitfield,2016,448,104308,830
Whitfield,2017,544,104063,848
Whitfield,2018,524,104062,846
Wilcox,2012,88,9034,94
Wilcox,2013,62,9021,103
Wilcox,2014,85,8891,113
Wilcox,2015,88,8898,98
Wilcox,2016,85,8835,103
Wilcox,2017,87,8794,105
Wilcox,2018,69,8812,78
Wilkes,2012,117,10084,163
Wilkes,2013,97,9917,131
Wilkes,2014,100,9946,126
Wilkes,2015,148,9909,145
Wilkes,2016,105,9810,138
Wilkes,2017,124,9877,129
Wilkes,2018,124,9876,148
Wilkinson,2012,93,9482,105
Wilkinson,2013,70,9363,100
Wilkinson,2014,119,9285,126
Wilkinson,2015,117,9080,127
Wilkinson,2016,104,9020,132
Wilkinson,2017,111,8967,116
Wilkinson,2018,98,9036,117
Worth,2012,183,21362,217
Worth,2013,131,21066,215
Worth,2014,200,21021,241
Worth,2015,166,20705,229
Worth,2016,156,20719,234
Worth,2017,193,20536,259
Worth,2018,188,20299,260
