county,year,death_cancellations,pop,deaths
Chattahoochee,2018,30,10684,40
Chattooga,2012,184,25616,319
Chattooga,2013,153,25040,323
Chattooga,2014,256,24857,333
Chattooga,2015,220,24895,306
Chattooga,2016,214,24826,321
Chattooga,2017,226,24716,317
Chattooga,2018,264,24790,342
Cherokee,2012,760,220638,1231
Cherokee,2013,720,224336,1256
Cherokee,2014,983,230208,1330
Cherokee,2015,1121,235387,1504
Cherokee,2016,1008,241912,1513
Cherokee,2017,1186,247894,1600
Cherokee,2018,1206,254149,1674
Clarke,2012,501,119904,640
Clarke,2013,413,120905,703
Clarke,2014,559,120413,680
Clarke,2015,670,123552,730
Clarke,2016,562,124894,740
Clarke,2017,598,126820,734
Clarke,2018,710,127330,797
Clay,2012,38,3105,48
Clay,2013,34,3014,42
Clay,2014,47,3072,41
Clay,2015,25,3077,27
Clay,2016,47,3005,53
Clay,2017,36,2962,47
Clay,2018,37,2887,39
Clayton,2012,994,265283,1405
Clayton,2013,771,264033,1568
Clayton,2014,1107,266678,1585
Clayton,2015,1328,272868,1632
Clayton,2016,994,279636,1707
Clayton,2017,1515,284534,1851
Clayton,2018,1282,289615,1882
Clinch,2012,47,6695,67
Clinch,2013,44,6762,72
Clinch,2014,61,6785,71
Clinch,2015,61,6836,71
Clinch,2016,79,6761,91
Clinch,2017,70,6684,88
Clinch,2018,53,6648,70
Cobb,2012,2244,706399,3633
Cobb,2013,2149,716162,3864
Cobb,2014,3171,727757,3984
Cobb,2015,3194,739319,4124
Cobb,2016,3086,748563,4188
Cobb,2017,3398,752783,4282
Cobb,2018,3401,756865,4387
Coffee,2012,277,43135,382
Coffee,2013,258,43092,346
Coffee,2014,321,42899,405
Coffee,2015,292,43000,402
Coffee,2016,314,42929,435
Coffee,2017,308,42885,402
Coffee,2018,336,43093,430
Colquitt,2012,313,46033,484
Colquitt,2013,213,46150,460
Colquitt,2014,326,45893,451
Colquitt,2015,332,45509,485
Colquitt,2016,327,45492,467
Colquitt,2017,356,45543,498
Colquitt,2018,322,45592,509
Columbia,2012,559,132560,809
Columbia,2013,588,136178,821
Columbia,2014,639,139151,856
Columbia,2015,696,143912,853
Columbia,2016,675,147477,922
Columbia,2017,786,151642,973
Columbia,2018,760,154291,1014
Cook,2012,111,16902,182
Cook,2013,178,17051,182
Cook,2014,116,17298,179
Cook,2015,180,17069,222
Cook,2016,115,17159,160
Cook,2017,154,17230,198
Cook,2018,157,17162,208
Coweta,2012,576,130575,831
Coweta,2013,506,132937,972
Coweta,2014,753,135140,949
Coweta,2015,745,138106,963
Coweta,2016,763,140419,1067
Coweta,2017,807,143050,1045
Coweta,2018,776,145864,1078
Crawford,2012,80,12610,131
Crawford,2013,66,12514,129
Crawford,2014,113,12431,140
Crawford,2015,92,12382,113
Crawford,2016,119,12294,156
Crawford,2017,127,12295,166
Crawford,2018,114,12318,146
Crisp,2012,158,23587,259
Crisp,2013,164,23294,242
Crisp,2014,170,23063,224
Crisp,2015,180,22949,228
Crisp,2016,178,22893,245
Crisp,2017,181,22723,258
Crisp,2018,191,22601,268
Dade,2012,57,16509,161
Dade,2013,104,16448,192
Dade,2014,105,16282,166
Dade,2015,133,16157,191
Dade,2016,75,16220,174
Dade,2017,127,16249,202
Dade,2018,88,16226,189
Dawson,2012,147,22464,158
Dawson,2013,104,22683,174
Dawson,2014,137,22978,172
Dawson,2015,167,23312,212
Dawson,2016,145,23608,199
Dawson,2017,200,24324,250
Dawson,2018,201,25083,262
DeKalb,2012,212,27446,4164
DeKalb,2013,89,27398,4240
DeKalb,2014,283,27178,4365
DeKalb,2015,241,27055,4353
DeKalb,2016,227,26683,4430
DeKalb,2017,277,26674,4631
DeKalb,2018,254,26575,4733
Decatur,2012,2774,710515,318
Decatur,2013,1879,717736,269
Decatur,2014,3562,725039,315
Decatur,2015,3820,734770,295
Decatur,2016,3322,747482,316
Decatur,2017,3847,752088,349
Decatur,2018,3456,756558,333
Dodge,2012,202,21514,229
Dodge,2013,177,21428,211
Dodge,2014,192,21174,216
Dodge,2015,217,21135,236
Dodge,2016,209,20839,243
Dodge,2017,181,20741,207
